code,system,display,definition,synonym
UN-0142,unani,Qurooh-e-Saqiyn,"'Qurooh-e-Saqiyn' refers to leg ulcer. Typical features include localized ulceration, burning pain, and tenderness. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Leg ulcer
UN-0143,unani,Qurooh-e-Qabl,"'Qurooh-e-Qabl' refers to genital ulcer. Typical features include localized ulceration, burning pain, and tenderness. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Genital ulcer
UN-0144,unani,Dard-e-Sar,"'Dard-e-Sar' refers to headache (cephalalgia). Typical features include localized pain and functional limitation, neurological symptoms such as headache or dizziness. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Headache
UN-0145,unani,Dard-e-Chashm,"'Dard-e-Chashm' refers to eye pain. Typical features include localized pain and functional limitation. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Eye pain
UN-0146,unani,Dard-e-Angoothha,"'Dard-e-Angoothha' refers to thumb pain. Typical features include localized pain and functional limitation. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Thumb pain
UN-0147,unani,Dard-e-Seena,"'Dard-e-Seena' refers to chest pain. Typical features include localized pain and functional limitation. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Chest pain
UN-0148,unani,Dard-e-Shikam,"'Dard-e-Shikam' refers to abdominal pain. Typical features include localized pain and functional limitation. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Abdominal pain
UN-0149,unani,Dard-e-Kamar,"'Dard-e-Kamar' refers to low back pain. Typical features include localized pain and functional limitation, joint inflammation, stiffness, or nerve-related pain. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Low back pain
UN-0150,unani,Dard-e-Kan,"'Dard-e-Kan' refers to ear pain. Typical features include localized pain and functional limitation. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Ear pain
UN-0151,unani,Dard-e-Dandan,"'Dard-e-Dandan' refers to toothache. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Toothache
UN-0152,unani,Zof-e-A'sab,"'Zof-e-A'sab' refers to peripheral neuropathy (nerve weakness). Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Peripheral neuropathy
UN-0153,unani,Rasha,"'Rasha' refers to tremor. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Tremor
UN-0154,unani,Nuqsan al-Dam,"'Nuqsan al-Dam' refers to anemia. Typical features include pallor, fatigue, and reduced exercise tolerance. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Anemia
UN-0155,unani,Safra Ziyadah,"'Safra Ziyadah' refers to hyperbilirubinemia/jaundice (icterus). Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Hyperbilirubinemia
UN-0156,unani,Yaraqan,"'Yaraqan' refers to jaundice. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Jaundice
UN-0157,unani,Dard-e-Masna,"'Dard-e-Masna' refers to bladder pain. Typical features include localized pain and functional limitation. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Bladder pain
UN-0158,unani,Sadd-e-Sharaayin,"'Sadd-e-Sharaayin' refers to atherosclerosis. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Atherosclerosis
UN-0159,unani,Sakta-e-Dimaghi,"'Sakta-e-Dimaghi' refers to stroke (cerebrovascular accident). Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Stroke
UN-0160,unani,Zo'f-e-Hafiza,"'Zo'f-e-Hafiza' refers to memory impairment. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Memory impairment
UN-0161,unani,Iltihab-e-A'sab,"'Iltihab-e-A'sab' refers to neuritis. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Neuritis
UN-0162,unani,Nafkha-e-Shikam,"'Nafkha-e-Shikam' refers to abdominal distension. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Abdominal distension
UN-0163,unani,Qayul-e-Dam,"'Qayul-e-Dam' refers to hematemesis. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Hematemesis
UN-0164,unani,Bawasiroon ka Khoon,"'Bawasiroon ka Khoon' refers to rectal bleeding. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Rectal bleeding
UN-0165,unani,Sarsam,"'Sarsam' refers to meningitis/encephalitis (traditional term). Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Meningitis
UN-0166,unani,Dimaqi Bukhar,"'Dimaqi Bukhar' refers to typhoid-like fever (enteric fever). Typical features include pyrexia, chills, malaise. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Typhoid-like fever
UN-0167,unani,Hummae-Nakhlia,"'Hummae-Nakhlia' refers to remittent fever. Typical features include pyrexia, chills, malaise. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Remittent fever
UN-0168,unani,Hummae-Qutrab,"'Hummae-Qutrab' refers to relapsing fever. Typical features include pyrexia, chills, malaise. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Relapsing fever
UN-0169,unani,Nazla-e-Harra,"'Nazla-e-Harra' refers to hot catarrh (influenza-like). Typical features include airway irritation, cough, and breathing difficulty. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Hot catarrh
UN-0170,unani,Nazla-e-Barida,"'Nazla-e-Barida' refers to cold catarrh. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Cold catarrh
UN-0171,unani,Zo'f-e-Meda,"'Zo'f-e-Meda' refers to gastric weakness (dyspepsia). Typical features include epigastric discomfort, burning, and dyspepsia. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Gastric weakness
UN-0172,unani,Bawari,"'Bawari' refers to goiter. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Goiter
UN-0173,unani,Iltihab-e-Ghadud-e-Darqi,"'Iltihab-e-Ghadud-e-Darqi' refers to thyroiditis. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Thyroiditis
UN-0174,unani,Fasadu'l-Bawl,"'Fasadu'l-Bawl' refers to urinary tract infection. Typical features include urinary symptoms such as dysuria, frequency, or colic. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Urinary tract infection
UN-0175,unani,Sailan al-Dam,"'Sailan al-Dam' refers to menometrorrhagia. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Menometrorrhagia
UN-0176,unani,Iltihab-e-Rahim,"'Iltihab-e-Rahim' refers to endometritis. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Endometritis
UN-0177,unani,Suqut-ur-Rahim,"'Suqut-ur-Rahim' refers to uterine prolapse. Typical features include gynecologic symptoms such as pelvic pain or cycle changes. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Uterine prolapse
UN-0178,unani,Warid-e-Mutawarri,"'Warid-e-Mutawarri' refers to thrombophlebitis. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Thrombophlebitis
UN-0179,unani,Qalb ki Bijli Be-Intizam,"'Qalb ki Bijli Be-Intizam' refers to arrhythmia. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Arrhythmia
UN-0180,unani,Zo'f-e-Bah,"'Zo'f-e-Bah' refers to sexual weakness (erectile dysfunction). Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Sexual weakness
UN-0181,unani,Sur'at-e-Inzal,"'Sur'at-e-Inzal' refers to premature ejaculation. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Premature ejaculation
UN-0182,unani,Qillat-e-Shahwat,"'Qillat-e-Shahwat' refers to decreased libido. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Decreased libido
UN-0183,unani,Silsila-e-Nawm ka Ikhtilal,"'Silsila-e-Nawm ka Ikhtilal' refers to insomnia. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Insomnia
UN-0184,unani,Kasrat-e-Nawm,"'Kasrat-e-Nawm' refers to hypersomnia. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Hypersomnia
UN-0185,unani,Sarinah,"'Sarinah' refers to vertigo. Typical features include neurological symptoms such as headache or dizziness. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Vertigo
UN-0186,unani,Qabz-e-Muzmin,"'Qabz-e-Muzmin' refers to chronic constipation. Typical features include infrequent, hard stools and straining. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Chronic constipation
UN-0187,unani,Ishal-e-Muzmin,"'Ishal-e-Muzmin' refers to chronic diarrhea. Typical features include increased stool frequency with abdominal cramps. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Chronic diarrhea
UN-0188,unani,Bawasir-e-Damvi,"'Bawasir-e-Damvi' refers to bleeding hemorrhoids. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Bleeding hemorrhoids
UN-0189,unani,Bawasir-e-Amya,"'Bawasir-e-Amya' refers to blind hemorrhoids. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Blind hemorrhoids
UN-0190,unani,Zof-e-Jigar,"'Zof-e-Jigar' refers to liver weakness (hepatic insufficiency). Typical features include right upper quadrant discomfort and fatigue. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Liver weakness
UN-0191,unani,Ramad-e-Muzmin,"'Ramad-e-Muzmin' refers to chronic conjunctivitis. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Chronic conjunctivitis
UN-0192,unani,Zurqah,"'Zurqah' refers to glaucoma. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Glaucoma
UN-0193,unani,Sadaf,"'Sadaf' refers to psoriasis. Typical features include skin changes such as rash, pruritus, or lesions. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Psoriasis
UN-0194,unani,Qilfil,"'Qilfil' refers to eczema (dermatitis). Typical features include skin changes such as rash, pruritus, or lesions. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Eczema
UN-0195,unani,Dummal,"'Dummal' refers to furunculosis (boils). Typical features include skin changes such as rash, pruritus, or lesions. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Furunculosis
UN-0196,unani,Khajli,"'Khajli' refers to pruritus (itching). Typical features include skin changes such as rash, pruritus, or lesions. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Pruritus
UN-0197,unani,Hika,"'Hika' refers to hiccups. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Hiccups
UN-0198,unani,Nakhun ka Fungal,"'Nakhun ka Fungal' refers to onychomycosis. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Onychomycosis
UN-0199,unani,Ghasayan,"'Ghasayan' refers to gastric irritation. Typical features include epigastric discomfort, burning, and dyspepsia. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Gastric irritation
UN-0200,unani,Qai-e-Sabahi,"'Qai-e-Sabahi' refers to morning sickness. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Morning sickness
UN-0201,unani,Dard-e-Masoor,"'Dard-e-Masoor' refers to gum pain. Typical features include localized pain and functional limitation. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Gum pain
UN-0202,unani,Sarsari Naza,"'Sarsari Naza' refers to allergic rhinitis. Typical features include airway irritation, cough, and breathing difficulty. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Allergic rhinitis
UN-0203,unani,Hasba,"'Hasba' refers to measles. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Measles
UN-0204,unani,Khasra-o-Khanse,"'Khasra-o-Khanse' refers to whooping cough (pertussis). Typical features include airway irritation, cough, and breathing difficulty. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Whooping cough
UN-0205,unani,Hummae-Qumal,"'Hummae-Qumal' refers to typhus (louse-borne fever). Typical features include pyrexia, chills, malaise. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Typhus
UN-0206,unani,Wabai Ishal,"'Wabai Ishal' refers to cholera. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Cholera
UN-0207,unani,Sartan-e-Jild,"'Sartan-e-Jild' refers to skin cancer. Typical features include progressive mass-related symptoms depending on site. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Skin cancer
UN-0208,unani,Sartan-e-Sadi,"'Sartan-e-Sadi' refers to breast cancer. Typical features include progressive mass-related symptoms depending on site. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Breast cancer
UN-0209,unani,Sartan-e-Qolon,"'Sartan-e-Qolon' refers to colon cancer. Typical features include progressive mass-related symptoms depending on site. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Colon cancer
UN-0210,unani,Sartan-e-Riya,"'Sartan-e-Riya' refers to lung cancer. Typical features include progressive mass-related symptoms depending on site. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Lung cancer
UN-0211,unani,Sartan-e-Meda,"'Sartan-e-Meda' refers to gastric cancer. Typical features include epigastric discomfort, burning, and dyspepsia, progressive mass-related symptoms depending on site. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Gastric cancer
UN-0212,unani,Sartan-e-Bidah,"'Sartan-e-Bidah' refers to prostate cancer. Typical features include progressive mass-related symptoms depending on site. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Prostate cancer
UN-0213,unani,Sartan-e-Rahim,"'Sartan-e-Rahim' refers to cervical cancer. Typical features include progressive mass-related symptoms depending on site, gynecologic symptoms such as pelvic pain or cycle changes. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Cervical cancer
UN-0214,unani,Sartan-e-Jigar,"'Sartan-e-Jigar' refers to hepatocellular carcinoma. Typical features include right upper quadrant discomfort and fatigue, progressive mass-related symptoms depending on site. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Hepatocellular carcinoma
UN-0215,unani,Zo'f-e-Masame,"'Zo'f-e-Masame' refers to hyperhidrosis? (sweat gland disorder). Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Hyperhidrosis?
UN-0216,unani,Urtikariya,"'Urtikariya' refers to urticaria. Typical features include skin changes such as rash, pruritus, or lesions. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Urticaria
UN-0217,unani,Sammiyat-e-Ghiza,"'Sammiyat-e-Ghiza' refers to food poisoning. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Food poisoning
UN-0218,unani,Sauda-e-Muzmin,"'Sauda-e-Muzmin' refers to chronic melancholia. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Chronic melancholia
UN-0219,unani,Iltihab-e-Mafasil al-Rumati,"'Iltihab-e-Mafasil al-Rumati' refers to rheumatoid arthritis. Typical features include joint inflammation, stiffness, or nerve-related pain. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Rheumatoid arthritis
UN-0220,unani,Waja'-al-'Asab al-Wajhi,"'Waja'-al-'Asab al-Wajhi' refers to trigeminal neuralgia. Typical features include localized pain and functional limitation. Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Trigeminal neuralgia
UN-0221,unani,Zo'f-e-A'sab-e-Nazar,"'Zo'f-e-A'sab-e-Nazar' refers to optic neuritis. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Optic neuritis
UN-0222,unani,Sada-e-Kan,"'Sada-e-Kan' refers to tinnitus. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Tinnitus
UN-0223,unani,Summa,"'Summa' refers to hearing loss. Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Hearing loss
UN-0224,unani,Zafarani Peshab,"'Zafarani Peshab' refers to hematuria (blood in urine). Typical features include symptoms vary by severity and temperament (mizaj). Management traditionally considers correction of temperament (mizaj), dietetic measures (ilaj‑bil‑ghiza), regimenal therapy (ilaj‑bit‑tadbeer), and drugs (ilaj‑bid‑dawa) as appropriate.",Hematuria
